"Scherwiller","48.283333 ","48° 17’ 18” N ","7.416667 ","007° 25’ 07” E "
"Schiltigheim","48.599998 ","48° 36’ 18” N ","7.733333 ","007° 44’ 56” E "
"Schirmeck","48.466667 ","48° 28’ 46” N ","7.216667 ","007° 13’ 11” E "
"Schopperten","48.933334 ","48° 56’ 47” N ","7.033333 ","007° 02’ 55” E "
"Schweighouse–Thann","47.750000 ","47° 45’ 12” N ","7.166667 ","007° 10’ 18” E "
"Schweighouse–sur–Moder","48.816666 ","48° 49’ 11” N ","7.716667 ","007° 43’ 43” E "
"Schwindratzheim","48.750000 ","48° 45’ 21” N ","7.583333 ","007° 35’ 58” E "
"Seebach","48.966667 ","48° 58’ 16” N ","7.983333 ","007° 59’ 21” E "
"Seltz","48.883331 ","48° 53’ 42” N ","8.100000 ","008° 06’ 28” E "
"Seppois–le–Bas","47.533333 ","47° 32’ 13” N ","7.166667 ","007° 10’ 31” E "
"Sigolsheim","48.133331 ","48° 08’ 01” N ","7.300000 ","007° 18’ 01” E "
"Soppe–le–Bas","47.716667 ","47° 43’ 10” N ","7.083333 ","007° 05’ 32” E "
"Souffelweyersheim","48.633331 ","48° 38’ 08” N ","7.733333 ","007° 44’ 30” E "
"Soufflenheim","48.816666 ","48° 49’ 50” N ","7.950000 ","007° 57’ 50” E "
"Soultzmatt","47.950001 ","47° 57’ 45” N ","7.233333 ","007° 14’ 20” E "
"Soultz–Haut–Rhin","47.883331 ","47° 53’ 10” N ","7.216667 ","007° 13’ 47” E "
"Soultz–sous–Forêts","48.933334 ","48° 56’ 22” N ","7.866667 ","007° 52’ 53” E "
"Staffelfelden","47.816666 ","47° 49’ 38” N ","7.250000 ","007° 15’ 14” E "
"Stattmatten","48.783333 ","48° 47’ 51” N ","8.000000 ","008° 00’ 12” E "
"Steige","48.349998 ","48° 21’ 39” N ","7.233333 ","007° 14’ 19” E "
"Steinbourg","48.766666 ","48° 46’ 14” N ","7.400000 ","007° 24’ 50” E "
"Strasbourg","48.583332 ","48° 35’ 04” N ","7.733333 ","007° 44’ 55” E "
"Strueth","47.583332 ","47° 35’ 02” N ","7.116667 ","007° 07’ 32” E "
"Struth","48.883331 ","48° 53’ 41” N ","7.250000 ","007° 15’ 24” E "
"Sundhoffen","48.033333 ","48° 02’ 39” N ","7.400000 ","007° 24’ 51” E "
"Surbourg","48.900002 ","48° 54’ 35” N ","7.833333 ","007° 50’ 55” E "
"Sélestat","48.250000 ","48° 15’ 37” N ","7.450000 ","007° 27’ 18” E "
"Tagolsheim","47.650002 ","47° 39’ 22” N ","7.266667 ","007° 16’ 15” E "
"Thann","47.799999 ","47° 48’ 26” N ","7.100000 ","007° 06’ 19” E "
"Thanvillé","48.316666 ","48° 19’ 24” N ","7.350000 ","007° 21’ 04” E "
"Tieffenbach","48.900002 ","48° 54’ 20” N ","7.250000 ","007° 15’ 02” E "
"Traenheim","48.583332 ","48° 35’ 46” N ","7.450000 ","007° 27’ 59” E "
"Turckheim","48.083332 ","48° 05’ 13” N ","7.266667 ","007° 16’ 41” E "
"Uberach","48.849998 ","48° 51’ 01” N ","7.616667 ","007° 37’ 46” E "
"Ungersheim","47.866669 ","47° 52’ 46” N ","7.300000 ","007° 18’ 19” E "
"Urmatt","48.516666 ","48° 31’ 40” N ","7.316667 ","007° 19’ 32” E "
"Vendenheim","48.666668 ","48° 40’ 06” N ","7.700000 ","007° 42’ 50” E "
"Vieux–Thann","47.799999 ","47° 48’ 24” N ","7.116667 ","007° 07’ 51” E "
"Village–Neuf","47.599998 ","47° 36’ 26” N ","7.566667 ","007° 34’ 13” E "
"Villé","48.333332 ","48° 20’ 40” N ","7.300000 ","007° 18’ 17” E "
"Voegtlinshoffen","48.016666 ","48° 01’ 12” N ","7.266667 ","007° 16’ 55” E "
"Volgelsheim","48.000000 ","48° 00’ 58” N ","7.533333 ","007° 32’ 54” E "
"Vœllerdingen","48.950001 ","48° 57’ 45” N ","7.133333 ","007° 08’ 30” E "
"Waldhambach","48.916668 ","48° 55’ 36” N ","7.216667 ","007° 13’ 10” E "
"Walheim","47.633331 ","47° 38’ 30” N ","7.250000 ","007° 15’ 54” E "
"Wasselonne","48.633331 ","48° 38’ 16” N ","7.433333 ","007° 26’ 40” E "
"Wattwiller","47.833332 ","47° 50’ 13” N ","7.166667 ","007° 10’ 51” E "
"Wegscheid","47.799999 ","47° 48’ 39” N ","6.950000 ","006° 57’ 31” E "
"Wentzwiller","47.533333 ","47° 32’ 59” N ","7.466667 ","007° 28’ 15” E "
"Westhalten","47.950001 ","47° 57’ 30” N ","7.250000 ","007° 15’ 33” E "
"Westhoffen","48.599998 ","48° 36’ 11” N ","7.433333 ","007° 26’ 31” E "
"Wettolsheim","48.049999 ","48° 03’ 27” N ","7.283333 ","007° 17’ 52” E "
"Weyersheim","48.716667 ","48° 43’ 02” N ","7.800000 ","007° 48’ 17” E "
"Wihr–au–Val","48.049999 ","48° 03’ 10” N ","7.200000 ","007° 12’ 11” E "
"Wilwisheim","48.733334 ","48° 44’ 56” N ","7.500000 ","007° 30’ 30” E "
"Wingen–sur–Moder","48.916668 ","48° 55’ 16” N ","7.366667 ","007° 22’ 37” E "
"Wingersheim","48.716667 ","48° 43’ 20” N ","7.633333 ","007° 38’ 09” E "
"Wintzenheim","48.066666 ","48° 04’ 26” N ","7.283333 ","007° 17’ 26” E "
"Wisches","48.500000 ","48° 30’ 32” N ","7.266667 ","007° 16’ 07” E "
"Wissembourg","49.033333 ","49° 02’ 18” N ","7.933333 ","007° 56’ 49” E "
"Wittelsheim","47.799999 ","47° 48’ 21” N ","7.233333 ","007° 14’ 18” E "
"Wittenheim","47.799999 ","47° 48’ 39” N ","7.333333 ","007° 20’ 22” E "
"Wittisheim","48.250000 ","48° 15’ 52” N ","7.583333 ","007° 35’ 20” E "
